unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1667559600,2022-11-04 11:00:00,BTC/USDT,20650,20650,20581,20581,0.63862176,13143.47444256
1667556000,2022-11-04 10:00:00,BTC/USDT,20581,20660,20550,20641,0.43266781,8930.69626621
1667552400,2022-11-04 09:00:00,BTC/USDT,20597,20624,20568,20568,2.59451895,53364.065763599996
1667548800,2022-11-04 08:00:00,BTC/USDT,20618,20645,20590,20590,0.49793888,10252.5615392
1667545200,2022-11-04 07:00:00,BTC/USDT,20612,20620,20548,20614,5.53885422,114177.94089108
1667541600,2022-11-04 06:00:00,BTC/USDT,20444,20664,20444,20603,0.97661917,20121.28475951
1667538000,2022-11-04 05:00:00,BTC/USDT,20330,20487,20323,20458,1.84437065,37732.1347577
1667534400,2022-11-04 04:00:00,BTC/USDT,20312,20349,20310,20327,0.58803096,11952.90532392
1667530800,2022-11-04 03:00:00,BTC/USDT,20319,20328,20286,20327,0.63889467,12986.81195709
1667527200,2022-11-04 02:00:00,BTC/USDT,20290,20322,20282,20322,0.85200720,17314.4903184
1667523600,2022-11-04 01:00:00,BTC/USDT,20280,20314,20242,20283,0.63443629,12868.27127007
1667520000,2022-11-04 00:00:00,BTC/USDT,20200,20301,20184,20279,2.89332592,58673.75633168
1667516400,2022-11-03 23:00:00,BTC/USDT,20208,20216,20167,20200,0.52535580,10612.187160000001
1667512800,2022-11-03 22:00:00,BTC/USDT,20261,20271,20142,20187,3.24872454,65582.00228898
1667509200,2022-11-03 21:00:00,BTC/USDT,20237,20266,20233,20257,0.98208116,19894.01805812
1667505600,2022-11-03 20:00:00,BTC/USDT,20265,20266,20222,20236,0.77597328,15702.59529408
1667502000,2022-11-03 19:00:00,BTC/USDT,20243,20279,20235,20265,0.77894500,15785.320425
1667498400,2022-11-03 18:00:00,BTC/USDT,20229,20263,20176,20242,1.39613402,28260.54483284
1667494800,2022-11-03 17:00:00,BTC/USDT,20296,20302,20222,20222,1.07795096,21798.32431312
1667491200,2022-11-03 16:00:00,BTC/USDT,20250,20309,20244,20299,1.13252321,22989.08863979
1667487600,2022-11-03 15:00:00,BTC/USDT,20319,20322,20215,20249,0.97813107,19806.17603643
1667484000,2022-11-03 14:00:00,BTC/USDT,20118,20337,20083,20322,3.22987302,65637.47951244
1667480400,2022-11-03 13:00:00,BTC/USDT,20119,20214,20104,20110,2.75327511,55368.362462100005
1667476800,2022-11-03 12:00:00,BTC/USDT,20116,20180,20031,20116,7.37359510,148327.2390316
1667473200,2022-11-03 11:00:00,BTC/USDT,20269,20278,20043,20124,2.31397900,46566.513395999995
1667469600,2022-11-03 10:00:00,BTC/USDT,20325,20335,20256,20268,1.73881913,35242.38612684
1667466000,2022-11-03 09:00:00,BTC/USDT,20298,20336,20288,20311,1.17822814,23930.99175154
1667462400,2022-11-03 08:00:00,BTC/USDT,20309,20333,20267,20301,0.75263796,15279.30322596
1667458800,2022-11-03 07:00:00,BTC/USDT,20321,20363,20280,20307,1.20196195,24408.24131865
1667455200,2022-11-03 06:00:00,BTC/USDT,20375,20375,20316,20318,0.60410244,12274.153375920001
1667451600,2022-11-03 05:00:00,BTC/USDT,20357,20382,20341,20382,0.40019466,8156.76756012
1667448000,2022-11-03 04:00:00,BTC/USDT,20313,20391,20313,20376,1.82554789,37197.36380664
1667444400,2022-11-03 03:00:00,BTC/USDT,20292,20344,20292,20314,2.03421015,41322.944987099996
1667440800,2022-11-03 02:00:00,BTC/USDT,20301,20340,20280,20280,0.74018883,15011.0294724
1667437200,2022-11-03 01:00:00,BTC/USDT,20209,20337,20195,20304,1.31286428,26656.396341120002
1667433600,2022-11-03 00:00:00,BTC/USDT,20148,20209,20118,20200,1.22852045,24816.11309
1667430000,2022-11-02 23:00:00,BTC/USDT,20098,20165,20081,20151,0.75547437,15223.564029869998
1667426400,2022-11-02 22:00:00,BTC/USDT,20153,20169,20066,20084,1.12289304,22552.183815359997
1667422800,2022-11-02 21:00:00,BTC/USDT,20163,20183,20081,20142,11.17287685,225044.0855127
1667419200,2022-11-02 20:00:00,BTC/USDT,20218,20275,20093,20184,4.12670632,83293.44036288
1667415600,2022-11-02 19:00:00,BTC/USDT,20459,20548,20129,20255,3.94554481,79917.01012655
1667412000,2022-11-02 18:00:00,BTC/USDT,20336,20801,20202,20469,13.86471995,283796.95265655
1667408400,2022-11-02 17:00:00,BTC/USDT,20526,20526,20396,20415,0.44372423,9058.63015545
1667404800,2022-11-02 16:00:00,BTC/USDT,20409,20541,20378,20528,0.94180027,19333.27594256
1667401200,2022-11-02 15:00:00,BTC/USDT,20434,20434,20403,20415,0.45859947,9362.30818005
1667397600,2022-11-02 14:00:00,BTC/USDT,20401,20461,20393,20432,2.09576007,42820.56975024
1667394000,2022-11-02 13:00:00,BTC/USDT,20395,20425,20361,20400,2.24679242,45834.565367999996
1667390400,2022-11-02 12:00:00,BTC/USDT,20437,20443,20358,20396,4.30027640,87708.4374544
1667386800,2022-11-02 11:00:00,BTC/USDT,20430,20459,20426,20434,2.36774119,48382.42347646
1667383200,2022-11-02 10:00:00,BTC/USDT,20464,20464,20358,20410,3.19383846,65186.242968599996
1667379600,2022-11-02 09:00:00,BTC/USDT,20511,20541,20416,20461,1.95697954,40041.758367940005
1667376000,2022-11-02 08:00:00,BTC/USDT,20425,20498,20409,20498,0.54281161,11126.55238178
1667372400,2022-11-02 07:00:00,BTC/USDT,20480,20484,20358,20423,1.21127151,24737.79804873
1667368800,2022-11-02 06:00:00,BTC/USDT,20487,20488,20460,20476,1.03397765,21171.7263614
1667365200,2022-11-02 05:00:00,BTC/USDT,20541,20561,20482,20486,1.04192133,21344.80036638
